,sentence,triples
2047,fox music has been fox's music arm since 2000.,"('fox music', 'been', 'music 2000')"
2048,20th century fox uses a well-known searchlight structure logo.,"('20th century fox', 'uses', 'known searchlight structure logo')"
2049,the fox fanfare was also re-orchestrated in 1981.,"('fox fanfare', 'was', 'also  1981')"
2050,"i ‡—includes theatrical reissue.
","('i', '‡—includes theatrical', 'theatrical  reissue')"
2051,"the new company, 20th century-fox film corporation, began trading on may 31, 1935.","('new  company', 'began', '20th fox film may')"
2052,the company established a special training school.,"('company', 'established', 'special training school')"
2053,ii helped fox overtake rko and metro-goldwyn-mayer to become the third most profitable film studio.,"('fox', 'helped', 'rko')"
2054,"his partner, william goetz, filled in at fox.in 1942,","('', 'partner', 'william fox.in')"
2055,the only work that the partnership wrote especially for films.,"('only  partnership', 'work', 'especially  films')"
2056,", mgm, universal pictures , columbia pictures and disney quickly adopted the process.","('universal  pictures', 'adopted', 'quickly columbia process')"
2057,"released in 1963, the film was a hit.","('film', 'was', '1963')"
2058,"to co-produce the towering inferno , an all-star action blockbuster from producer irwin allen.  ","('', 'produce', 'towering producer irwin allen')"
2059,rich's assets were frozen by u.s.,"('assets', 'frozen by', '.')"
2060,fox stage productions was formed in june 2013.,"('fox stage productions', 'formed in', 'june')"
2061,these scarce records were sold only at fox theaters.,"('scarce  records', 'sold', 'only fox theaters')"
2062,fox music has been fox's music arm since 2000.,"('fox music', 'been', 'music 2000')"
2063,20th century fox uses a well-known searchlight structure logo.,"('20th century fox', 'uses', 'known searchlight structure logo')"
2064,the fox fanfare was also re-orchestrated in 1981.,"('fox fanfare', 'was', 'also  1981')"
2065,"i ‡—includes theatrical reissue.
","('i', '‡—includes theatrical', 'theatrical  reissue')"
2066,these are considered the highest awards for kannada language films.,"('these', 'considered', 'highest kannada language films')"
2067,he has starred in more than 25 films.,"('he', 'starred in more', '25  films')"
2068,"however, the film did not see a theatrical release.","('however  film', 'see', 'theatrical  release')"
2069,"his next release was idharkuthane aasaipattai balakumara, directed by gokul.","('next  release', 'was', 'idharkuthane aasaipattai gokul')"
2070,vijay sethupathi has become a darling of the masses.,"('vijay sethupathi', 'become', 'masses')"
2071,both directed by debutants.,"('', 'both', 'debutants')"
2072,he then appeared in mani ratnam's multi-starrer chekka chivantha vaanam.,"('he', 'appeared in', 'chekka chivantha chekka vaanam')"
2073,"sethupathi has three siblings, one elder brother, one younger brother and one younger sister.","('sethupathi', 'has', 'three  siblings')"
2074,"he has two children, a son surya and a daughter shreeja.","('he', 'has', 'two  children')"
2075,he has starred in more than 25 films.,"('he', 'starred in more', '25  films')"
2076,"however, the film did not see a theatrical release.","('however  film', 'see', 'theatrical  release')"
2077,"his next release was idharkuthane aasaipattai balakumara, directed by gokul.","('next  release', 'was', 'idharkuthane aasaipattai gokul')"
2078,vijay sethupathi has become a darling of the masses.,"('vijay sethupathi', 'become', 'masses')"
2079,both directed by debutants.,"('', 'both', 'debutants')"
2080,he then appeared in mani ratnam's multi-starrer chekka chivantha vaanam.,"('he', 'appeared in', 'chekka chivantha chekka vaanam')"
2081,"sethupathi has three siblings, one elder brother, one younger brother and one younger sister.","('sethupathi', 'has', 'three  siblings')"
2082,"he has two children, a son surya and a daughter shreeja.","('he', 'has', 'two  children')"
2083,"for the 2010, 2011 and 2012 film years, it was renamed best horror or thriller film .","('2011 film it', 'renamed best', '2011 film years')"
2084,"the berlin international film festival , usually called the berlinale, is a film festival held annually in berlin, germany.","('international film festival', 'called', 'annually film berlin')"
2085,"around twenty films compete for the festival's top awards, called the golden bear and several silver bears.","('twenty  films', 'compete for', 'top  awards')"
2086,"the trade fair serves distributors, film buyers, producers, financiers and co-production agents.","('trade fair', 'serves', 'distributors')"
2087,the festival is composed of seven different film sections.,"('festival', 'composed of', 'different film sections')"
2088,"each year, the retrospective section is dedicated to important themes or filmmakers.","('retrospective  section', 'dedicated to important', 'important  themes')"
2089,"the efm is the major venue for film producers, buyers, financiers, sales agents, and distributors.","('efm', 'is', 'major film producers')"
2090,"it is a professional trade event, so is open to registered industry insiders.","('it', 'is', 'registered industry insiders')"
2091,the next major example in the genre was the film metropolis .,"('major  example', 'was', 'genre')"
2092,they usually had a technological theme and were often intended to be humorous.,"('they', 'had', 'technological  theme')"
2093,several early films merged the science fiction and horror genres.,"('early  films', 'merged', 'science fiction')"
2094,"while many 1950s science fiction films were low-budget b movies, there were several successful films with larger budgets and impressive special effects.","('many science fiction films', 'were several', 'larger budget b budgets')"
2095,the most successful monster movies were kaiju films released by japanese film studio toho.,"('successful monster movies', 'toho', 'japanese film studio')"
2096,"other themes included disaster films , alien invasion ) and genetic experimentation  and gattaca ).","('other  themes', 'included', 'disaster films')"
2097,this movie was also an example of political commentary.,"('movie', 'was', 'political  commentary')"
2098,"that same year, terminator salvation was released and garnered only moderate success.","('year terminator salvation', 'released', 'moderate  success')"
2099,not all science fiction themes are equally suitable for movies.,"('science fiction themes', 'are', 'equally  movies')"
2100,this is not true of the science fiction film.,"('this', 'is', 'science fiction film')"
2101,"however, there are several common visual elements that are evocative of the genre.","('visual  that', 'are several', 'genre')"
2102,"these include the spacecraft or space station, alien worlds or creatures, robots, and futuristic gadgets.","('these', 'include', 'spacecraft')"
2103,"cybernetics and holographic projections as depicted in robocop and i, robot are also popularized.","('holographic  robot', 'popularized', 'holographic  robocop')"
2104,while a working cloaking device / material is the main goal of stealth technology.,"('device  material', 'is', 'stealth  technology')"
2105,"autonomous cars  and quantum computers, like in the movie stealth and transcendence, also will be available eventually.","('autonomous  cars', 'be available', 'movie stealth')"
2106,reboot was greatly improved as compared to the original mighty morphin power rangers: the movie .,"('reboot', 'improved as', 'mighty morphin power rangers')"
2107,either a society will become better or worse in the future.,"('society', 'become better', 'future')"
2108,contemporary science fiction films continue to explore social and political issues.,"('contemporary science fiction films', 'continue', 'social  issues')"
2109,"its sequel, 2010, was commercially successful but less highly regarded by critics.","('sequel', 'was', 'highly  critics')"
2110,he is the very personification of evil.,"('he', 'is', 'very  evil')"
2111,the cinematic adaptation of a clockwork orange  was not initially planned.,"('cinematic  adaptation', 'planned', 'clockwork orange')"
2112,it had an immediate impact.,"('it', 'had', 'immediate  impact')"
2113,he just likes total control.,"('he', 'likes total', 'total  control')"
2114,as malcolm mcdowell points out on the dvd commentary,"('malcolm mcdowell', 'points', 'dvd commentary')"
2115,a clockwork orange was a box-office success in the united states.,"('clockwork orange', 'was', 'united states')"
2116,the maritime film classification board also reversed the ban eventually.,"('film classification board', 'reversed', 'also  ban')"
2117,"a limited-edition collector's set with a soundtrack disc, film poster, booklet and film strip followed, but later was discontinued.","('set', 'followed', 'soundtrack disc')"
2118,the release accompanies four other kubrick classics.,"('release', 'accompanies', 'other kubrick classics')"
2119,"unlike the previous version, the dvd re-release edition is anamorphically enhanced.","('release  edition', 'enhanced', 'previous  version')"
2120,a clockwork orange remains an influential work in cinema and other media.,"('clockwork orange', 'remains', 'influential  cinema')"
2121,a clockwork orange appears several times on the american film institute's  top movie lists.,"('clockwork orange', 'appears several', 'top movie lists')"
2122,the spanish director luis buñuel praised the film highly.,"('spanish  director', 'praised', 'luis film')"
2123,i was predisposed against the film.,"('i', 'predisposed against', 'film')"
2124,the journal was established in 1972.,"('journal', 'established in', '1972')"
2125,dare is a 2009 indie romantic drama film directed by adam salky.,"('dare', 'is', 'indie romantic adam salky')"
2126,it is written by david brind.,"('it', 'written by', 'david brind')"
2127,"imdb also provides a different teaser synopsis: the good girl, the outsider and the bad boy...","('imdb', 'provides', 'different teaser synopsis')"
2128,their first-year assignment was to pair up to create an 8-12 minute short film,"('first year assignment', 'was', 'short  film')"
2129,"rotten tomatoes gives the film a 60% rating.
","('rotten  tomatoes', 'gives', '60 % rating')"
2130,the peasants  is a polish historical film directed by jan rybkowski.,"('peasants', 'is', 'historical jan rybkowski')"
2131,it was released in 1973.,"('it', 'released in', '1973')"
2132,"yash stars as rocky, while ramachandra raju features as garuda.","('rocky ramachandra raju', 'features as', 'garuda')"
2133,"however, filming began only two years later, in march 2017.","('however  filming', 'began', 'later  march')"
2134,kgf was released in five languages.,"('kgf', 'released in', 'five  languages')"
2135,it is a complete period drama and is set in the 70s and early 80s.,"('it', 'is', 'complete period 70s')"
2136,ramya krishna and nassar are expected to join in later schedules.,"('ramya krishna', 'expected', 'later  schedules')"
2137,the trailer was released on 9 november 2018.,"('trailer', 'released on', '9  november')"
2138,brilliant cinematography and equally challenging action sequences are put together with razor-sharp edits.,"('brilliant  cinematography', 'put', 'sharp action edits')"
2139,they give the film a racy pace.,"('they', 'give', 'racy  pace')"
2140,"yash stars as rocky, while ramachandra raju features as garuda.","('rocky ramachandra raju', 'features as', 'garuda')"
2141,"however, filming began only two years later, in march 2017.","('however  filming', 'began', 'later  march')"
2142,kgf was released in five languages.,"('kgf', 'released in', 'five  languages')"
2143,it is a complete period drama and is set in the 70s and early 80s.,"('it', 'is', 'complete period 70s')"
2144,ramya krishna and nassar are expected to join in later schedules.,"('ramya krishna', 'expected', 'later  schedules')"
2145,the trailer was released on 9 november 2018.,"('trailer', 'released on', '9  november')"
2146,brilliant cinematography and equally challenging action sequences are put together with razor-sharp edits.,"('brilliant  cinematography', 'put', 'sharp action edits')"
2147,they give the film a racy pace.,"('they', 'give', 'racy  pace')"
2148,it is a remake of the tamil hit film mouna guru.,"('it', 'is', 'hit film mouna guru')"
2149,all lyrics are written by krishna chaitanya.,"('lyrics', 'written by', 'krishna chaitanya')"
2150,sometimes each one is directed by a different director.,"('sometimes  one', 'directed by', 'different  director')"
2151,the four different segments  were all directed by different directors.,"('different  segments', 'directed by different', 'different  directors')"
2152,mohsen abdolvahab's debut please do not disturb  was a widely acclaimed tri-segmented iranian anthology film.,"('disturb', 'was', '')"
2153,anthology films are often mistaken with hyperlink cinema.,"('anthology films', 'mistaken with', 'often hyperlink cinema')"
2154,"the film spawned two sequels, v/h/s/2 , and v/h/s: viral , and a spin-off, siren .","('film', 'spawned', 'v  h')"
2155,dus kahaniyaan is also a noted portmanteau film from bollywood.,"('dus kahaniyaan', 'is', 'noted portmanteau bollywood')"
2156,r. puttanna kanagal's 1976 film katha sangama is the first attempt in making anthology,"('1976 film katha sangama', 'is', 'first  anthology')"
2157,"nai is a 2019 assamese anthology film by three directors prodyut kumar deka, prasant saikia and utpal datta.","('nai', 'is', 'three anthology directors')"
2158,"the archive contains more than 50,000 fiction films, over 100,000 non-fiction titles, and around 625,000 television programmes.","('archive', 'contains more', 'fiction fiction titles')"
2159,the institute was founded in 1933.,"('institute', 'founded in', '1933')"
2160,other governors are co-opted by existing board members when required .,"('other  governors', 'members', '')"
2161,"it is also funded through the national lottery, creative scotland and northern ireland screen.","('it', 'funded through', 'national  lottery')"
2162,"it is a sister publication of adweek, billboard, the hollywood reporter, and other periodicals.","('it', 'is', 'sister adweek')"
2163,"its film critics include lewis beale, frank lovece, maitland mcdonagh, rebecca pahle, david noh, and doris toumarkine.","('film critics', 'include', 'lewis beale')"
2164,the film's stunts were choreographed by twin stunt masters ram-lakshman chella.,"('stunts', 'choreographed by twin', 'twin lakshman chella')"
2165,this film's soundtrack and score will be composed by anirudh ravichander.,"('soundtrack', 'composed by', 'anirudh ravichander')"
2166,"lyrics will be written by vivek, madhan karky, and pa.","('lyrics', 'written by', 'vivek')"
2167,mahjong  is a 1996 taiwanese comedy film written and directed by edward yang.  ,"('mahjong', 'is', 'taiwanese edward yang')"
2168,"the film stars chang chen, nick erickson and virginie ledoyen.","('', 'chen', '')"
2169,"gods behaving badly is a 2013 film adaptation of marie phillips' satire novel, gods behaving badly.","('2013 satire gods', 'is', '2013 satire novel')"
2170,the film was shot during mid-2011.,"('film', 'shot during', 'mid-2011')"
2171,the edited version would later be used in the 2008 karaoke video game singstar pop vol.,"('edited  version', 'used in', '2008 singstar pop vol')"
2172,"mini-lp:albums:singles:duran duran are:also credited:
","('duran duran', 'albums', '')"
2173,flavors is a 2003 romantic comedy film written and directed by raj nidimoru and krishna,"('flavors', 'is', 'romantic raj nidimoru')"
2174,"flavors was an official selection at the cairo international film festival, the hamptons international film festival, the milan film festival, the hawaii international film festival, the bangkok international film festival, the san francisco international film festival, the asian american international film festival and the mumbai film festival.","('flavors', 'was', 'cairo international film festival')"
2175,flavors received mostly positive reviews form critics.,"('flavors', 'received', 'positive reviews form critics')"
2176,nikaah  is a 1982 indian hindi/urdu-language film produced and directed by b. r. chopra.,"('nikaah', 'is', 'urdu b. r. chopra')"
2177,the film's music was composed by ravi and was a huge hit.  ,"('music', 'composed by', 'ravi')"
2178,"the film is set in hyderabad, deccan.","('film', 'set in', 'hyderabad  deccan')"
2179,are students in the osmania university.,"('', 'are', 'osmania university')"
2180,"meanwhile, haider becomes a successful poet and editor of a magazine.","('meanwhile  haider', 'becomes', 'successful  magazine')"
2181,"nilofar, who was expecting a happy married life is disappointed and feels neglected and lonely.","('married  life', 'nilofar', '')"
2182,addiction  is a 2004 finnish romantic drama film directed by minna virtanen.,"('addiction', 'is', 'romantic minna virtanen')"
2183,only a few loudspeaker announcements were used in the original cut.,"('loudspeaker  announcements', 'used in', 'original  cut')"
2184,or so he was paid to direct the film.,"('so  he', 'paid', 'film')"
2185,this movie heals a breach.,"('movie', 'heals', 'breach')"
2186,the movie depends upon timing and tone to be funny. . . .,"('movie', 'depends upon', 'timing')"
2187,one of the reasons mash is so funny,"('one', 'is', 'reasons mash')"
2188,"the supporting cast includes geraldine chaplin, rod steiger, alec guinness, tom courtenay, ralph richardson, siobhán mckenna and rita tushingham.","('supporting  cast', 'includes geraldine', 'geraldine chaplin')"
2189,"over time, however, the film's reputation has improved greatly.","('however  reputation', 'improved', 'time')"
2190,zhivago tends komarovsky's wound.,"('zhivago', 'tends', 'wound')"
2191,yuri and lara renew their relationship.,"('yuri', 'renew', 'relationship')"
2192,"however, the novel was not completed until 1956.","('however  novel', 'completed until', '1956')"
2193,the film was entered into the 1966 cannes film festival.,"('film', 'entered into', '1966 cannes film festival')"
2194,at least it was to zhivago himself.,"('least  it', 'was', 'himself')"
2195,"the film received three bafta award nominations:other awards and nominations:
","('film', 'received', 'three bafta award nominations')"
2196,nimki is a 2019 indian odia language political propaganda film directed by susant mani.,"('nimki', 'is', 'susant propaganda mani')"
2197,but she never stops and find her way out.,"('she', 'stops', 'way')"
2198,"lighting, costumes, props, camera movements, and backgrounds are all part of mis-en-scene.","('lighting', 'are', 'mis camera scene')"
2199,maelström is a 2000 canadian romantic drama film written and directed by denis villeneuve.,"('maelström', 'is', 'romantic denis villeneuve')"
2200,"employing fantasy and comedic elements, maelström is narrated by a talking fish.","('comedic  maelström', 'narrated by', 'talking  fish')"
2201,"while at a restaurant, claire and bibiane order octopus but discover it is stale.","('bibiane it', 'is stale', 'bibiane octopus')"
2202,it's more a film about responsibility and .,"('it', ""'s"", 'more  responsibility')"
2203,car crashes are the most dramatic events common and closest to us.,"('car crashes', 'are', 'common  us')"
2204,one of its subjects is mythology.,"('one', 'is', 'subjects')"
2205,and then i think there's a link between storytelling and death.,"('then  i', 'think', 'storytelling')"
2206,"in summer 1999, casting began.","('1999  casting', 'began', 'summer')"
2207,the film had its u.s.,"('film', 'had', '')"
2208,slant magazine's ed gonzalez dismissed it as instantly forgettable.,"('ed gonzalez', 'dismissed', 'it')"
2209,lyricist howard ashman and composer alan menken wrote the film's songs.,"('lyricist howard ashman', 'wrote', 'composer alan songs')"
2210,"a few months after starting anew, purdum resigned as director.","('anew  purdum', 'resigned as', 'director')"
2211,"a two-disc dvd edition was released on november 23, 2010.","('two disc dvd edition', 'released on', 'november')"
2212,the film was also nominated for best picture and best sound.,"('film', 'nominated for best', 'best  picture')"
2213,"potts, and stacey logan as babette the feather duster.","('', 'potts', 'stacey babette')"
2214,"the film was released on march 17, 2017.","('film', 'released on', 'march')"
2215,"extra lives, keys and other items are hidden throughout the levels.","('extra  lives', 'hidden throughout', 'other  levels')"
2216,the final boss of the game is gaston.,"('final  boss', 'is', 'game')"
2217,"it was released on october 25, 1999.","('it', 'released on', 'october')"
2218,the clothes also simulated wear using paint and a file.,"('clothes', 'simulated', 'also  paint')"
2219,"coraline was theatrically released on february 6, 2009.","('coraline', 'released on', 'theatrically  february')"
2220,it was also nominated for the webby movie and film category.,"('it', 'nominated for', 'movie  category')"
2221,it was released to dvd on september 3.in the 1960s,"('it', 'released', 'september 3.in')"
2222,kuklinski's daughter is later seriously injured by a hit-and-run car accident.,"('daughter', 'injured by', 'hit car accident')"
2223,neither his wife nor his daughters have ever suspected him of being a cold-blooded killer.,"('wife', 'suspected', 'ever  him')"
2224,club gave the film a c+ rating.,"('club', 'gave', 'c+ rating')"
2225,oliver lyttelton gave the film a c rating.,"('oliver lyttelton', 'gave', 'c rating')"
2226,she and christian have sex.,"('she', 'have', 'sex')"
2227,"banks, was hired for the job.","('banks', 'hired for', 'job')"
2228,mark bridges served as the costume designer.,"('mark bridges', 'served as', 'costume designer')"
2229,of course i wouldn't.,"('i', 'would', 'course')"
2230,keeley hazell auditioned for an unspecified role.,"('keeley hazell', 'auditioned for', 'unspecified  role')"
2231,lucy hale also auditioned for the film.,"('lucy hale', 'auditioned for', 'also  film')"
2232,and i started reading with dakota,"('i', 'started', 'dakota')"
2233,ora originally wanted to work on the soundtrack.,"('ora', 'wanted', 'originally  soundtrack')"
2234,"principal photography was again delayed and eventually started on december 1, 2013.","('principal  photography', 'delayed', 'eventually  december')"
2235,bentall 5 was used as the grey enterprises building.,"('5 grey enterprises', 'used as', '')"
2236,the fairmont hotel vancouver was used as the heathman hotel.,"('fairmont hotel vancouver', 'used as', 'heathman hotel')"
2237,the film was also shot at the north shore studios.,"('film', 'shot at', 'also north shore studios')"
2238,"the production officially ended on february 21, 2014.","('production', 'ended on', 'officially  february')"
2239,"the set was on lockdown.in an alternative ending, both ana and christian experience flashbacks.","('set', 'was on', 'lockdown.in')"
2240,"a second trailer was released on november 13, 2014.","('second  trailer', 'released on', 'november')"
2241,a similarly cut version was released in zimbabwe.,"('cut  version', 'released in', 'zimbabwe')"
2242,it's not in our best interest.,"('it', ""'s"", 'best  interest')"
2243,it's not in the community's best interest.,"('it', ""'s"", 'best  interest')"
2244,"other high openings include germany , france , russia , italy , spain , brazil , mexico , australia .","('high  openings', 'include', 'germany')"
2245,"in total earnings, its largest markets overseas are the uk, ireland and malta , germany , brazil , france , and spain .","('largest  markets', 'are', 'total  earnings')"
2246,but that's not saying much.,"('that', 'saying', 'much')"
2247,"both films are literary adaptations, centering on a sadomasochistic affair.","('films', 'are literary', 'sadomasochistic  affair')"
2248,"a release date of january 10, 2013 was announced.","('release date', 'announced', 'january')"
2249,"it stars shah rukh khan, mahira khan and nawazuddin siddiqui.","('it', 'stars', 'shah rukh khan')"
2250,raees was said to be based on criminal abdul latif's life.,"('raees', 'said', 'criminal abdul life')"
2251,raees was also the most pirated hindi film of 2017.,"('raees', 'was', 'pirated hindi 2017')"
2252,raees and aasiya have a baby son named faizan.,"('raees', 'have', 'baby son')"
2253,"while still locked up, the cm and pasha form an alliance.","('still  cm', 'form', 'alliance')"
2254,communal riots break out in the state.,"('communal  riots', 'break', 'state')"
2255,serial bomb blasts rock north india.,"('', 'india', '')"
2256,raees opened to 3500 screens worldwide.,"('raees', 'opened to', '3500  screens')"
2257,"worldwide, raees has grossed ₹272.5 crore .","('worldwide  raees', 'grossed', 'crore')"
2258,"in places, you will applaud and whistle.","('you', 'applaud', 'places')"
2259,it amalgamates shah rukh's charm and rahul's intelligence.,"('it', 'amalgamates', 'shah charm')"
2260,nawazuddin siddiqui has the best lines.,"('nawazuddin siddiqui', 'has', 'best  lines')"
2261,raees perhaps works only as an srk showcase.,"('raees', 'works', 'only srk showcase')"
2262,"and, raees is the story of neither a hero nor a villain","('raees', 'is', 'hero')"
2263,additional lyrics are written by javed akhtar.,"('additional  lyrics', 'written by', 'javed  akhtar')"
2264,"shah rukh khan later condoled for his fan's death.
","('shah rukh khan', 'condoled for', 'later  death')"
2265,these phrases were soon shortened to just original motion picture soundtrack.,"('phrases', 'shortened to', 'original motion picture soundtrack')"
2266,it is never correct to call a cast recording a soundtrack.,"('it', 'is', 'soundtrack')"
2267,a soundtrack typically contains instrumentation or alternatively a film score.,"('soundtrack', 'contains', 'typically  instrumentation')"
2268,koji kondo was an early and important composer for nintendo games.,"('koji kondo', 'was', 'early nintendo games')"
2269,the 1985 novel always coming home by ursula k.,"('1985  novel', 'coming', 'home ursula k.')"
2270,"garrocho, had an original soundtrack composed by musician bruno ito.","('garrocho', 'had', 'original musician bruno ito')"
2271,these phrases were soon shortened to just original motion picture soundtrack.,"('phrases', 'shortened to', 'original motion picture soundtrack')"
2272,it is never correct to call a cast recording a soundtrack.,"('it', 'is', 'soundtrack')"
2273,a soundtrack typically contains instrumentation or alternatively a film score.,"('soundtrack', 'contains', 'typically  instrumentation')"
2274,koji kondo was an early and important composer for nintendo games.,"('koji kondo', 'was', 'early nintendo games')"
2275,the 1985 novel always coming home by ursula k.,"('1985  novel', 'coming', 'home ursula k.')"
2276,"garrocho, had an original soundtrack composed by musician bruno ito.","('garrocho', 'had', 'original musician bruno ito')"
2277,the film grossed over $403 million worldwide.,"('film', 'grossed', '$ 403 million')"
2278,david investigates the cylinder and the liquid inside.,"('david', 'investigates', 'cylinder')"
2279,"shortly after, shaw and holloway have sex.","('after  shaw', 'have', 'sex')"
2280,why hast thou forsaken me?,"('why hast thou', 'forsaken', 'me')"
2281,it shouldn't be about that.,"('it', 'be about', 'that')"
2282,pre-production began in april 2010.,"('production', 'began in', 'april')"
2283,the iceland shoot involved 160 icelandic crew members and over 200 imported crew.,"('iceland shoot', 'involved', 'icelandic crew members')"
2284,"shooting areas included the complex's large water tank, and a nearby beach.","('shooting areas', 'included', 'large water tank')"
2285,and then i digitally flipped it.,"('then  i', 'flipped', 'digitally  it')"
2286,frédéric chopin's raindrop prelude  is also featured in the film.,"('raindrop prelude', 'featured in', 'also  film')"
2287,production designer arthur max led the film's design staff.,"('designer arthur max', 'led', 'design staff')"
2288,"theron is dressed in an ice-silver, silk mohair suit.","('theron', 'dressed in', 'ice silver')"
2289,other influences were the martian mountain olympus mons and several large mountain structures on earth.,"('other  influences', 'were', 'large mountain earth')"
2290,"the designers gave the creature a smooth, muscular, and powerful appearance.","('designers', 'gave', 'smooth  appearance')"
2291,the practical creature was a remotely operated animatronic creation with a silicone skin.,"('practical  creature', 'was', 'animatronic silicone skin')"
2292,the deacon's protruding jaw was inspired by the goblin shark.,"('protruding  jaw', 'inspired by', 'goblin shark')"
2293,"prometheus contains approximately 1,300 digital effect shots.","('prometheus', 'contains', 'digital effect shots')"
2294,mind just multiplexes in that way.,"('mind', 'multiplexes in', 'just  way')"
2295,"the trailer was released on december 22, 2011.","('trailer', 'released on', 'december')"
2296,he also said that,"('he', 'said', 'also  that')"
2297,—particularly michael fassbender as a fastidious android.,"('', 'fassbender as', 'fastidious michael android')"
2298,"entertainment weekly's lisa schwarzbaum was positive towards the cast, particularly rapace, and the cinematography.","('lisa schwarzbaum', 'was positive', 'cast')"
2299,o'hehir also mentioned wolski's cinematography and max's production design.,"(""o'hehir"", 'mentioned', 'also  cinematography')"
2300,a sequel to alien: covenant is in development.,"('covenant', 'sequel to', 'development')"
2301,she was then replaced by tim johnson and todd wilderman.,"('she', 'replaced by', 'then tim johnson')"
2302,it has been strongly associated with the 20th century.,"('it', 'associated with', '20th  century')"
2303,"subgenres, not necessarily distinct, include anti-war, comedy, animated, propaganda, and documentary.","('subgenres', 'include anti', 'distinct  war')"
2304,"however, some directors and critics have offered at least tentative definitions.","('however  directors', 'offered', 'tentative  definitions')"
2305,both the central powers and the allies produced war documentaries.,"('central  powers', 'produced', 'war documentaries')"
2306,censorship loosened in the 1980s.,"('censorship', 'loosened in', '1980s')"
2307,the exceptions included the green berets .,"('exceptions', 'included', 'green  berets')"
2308,"heroes were typically low-ranking officers, not samurai, calmly devoted to his men and his country.","('heroes', 'were', 'devoted  men')"
2309,"for japanese film-makers, war was not a cause","('japanese film war', 'was', 'japanese film makers')"
2310,"during the second world war, film propaganda was widely used.","('second film propaganda', 'used', 'second world war')"
2311,"the resulting film, 49th parallel , became the top film at british offices that year.","('resulting  film', 'became', 'british  offices')"
2312,the english countryside is thick with spies.,"('english countryside', 'is thick', 'spies')"
2313,winsor mccay's the sinking of the lusitania  ,"('', 'sinking of', 'winsor lusitania')"
2314,"at 12 minutes long, it was the longest animated film made at that time.","('minutes  it', 'was', 'animated  time')"
2315,"mohiniyaattam is a 1976 indian malayalam film,  directed by sreekumaran thampi.","('mohiniyaattam', 'is', 'sreekumaran malayalam thampi')"
2316,basil rathbone's the scarlet claw  sees sherlock holmes,"('basil rathbone', ""'s"", 'scarlet sherlock holmes')"
2317,crown international's terrified  features a masked killer.,"('crown international', 'features', 'masked  killer')"
2318,splatter films focus on gratuitous gore.,"('splatter films', 'focus on gratuitous', 'gratuitous  gore')"
2319,italy's giallo thrillers are crime procedurals or murder mysteries interlaced with eroticism and psychological horror.,"('giallo thrillers', 'are', 'murder eroticism')"
2320,mario bava's a bay of blood  ,"('', 'bay of', 'mario blood')"
2321,less successful were ray dennis steckler's burlesque slasher the hollywood strangler meets the skid row slasher and,"('hollywood strangler', 'were', 'skid row slasher')"
2322,"silent scream and prom night were box office hits with $7.9 and $14.8 million, respectively.","('box office', 'were', '$  7.9')"
2323,the international market found italy's absurd and madhouse and germany's bloody moon.,"('international  market', 'found', 'bloody  moon')"
2324,director amy holden jones and writer rita,"('', 'jones', '')"
2325,the film's iconic hockey mask has grown to pop-culture iconography.,"('iconic hockey mask', 'grown to pop', 'culture iconography')"
2326,traditional slasher films saw less frequent output.,"('traditional slasher films', 'saw less', 'frequent  output')"
2327,the film also reunited original cast members anthony perkins and vera miles.,"('film', 'reunited original', 'original members anthony perkins')"
2328,a nightmare on elm street and especially its villain freddy krueger  became cultural phenomenons.,"('nightmare', 'became cultural', 'elm street')"
2329,"mexico released zombie apocalypse , don't panic , grave robbers  and hell's trap .","('zombie grave', 'released', 'zombie apocalypse')"
2330,new nightmare sold 2.3 million tickets the north american box office.,"('new  nightmare', 'sold', '2.3 million american box office')"
2331,the sequels halloween h20:,"('', 'sequels', '')"
2332,netflix's slasher and fox's scream queens are/were intended to be anthologies with new settings and mysteries every season.,"('slasher', 'intended', 'new scream settings')"
2333,rampant is a 2018 south korean period action zombie film directed by kim sung-hoon.,"('rampant', 'is', 'korean kim sung hoon')"
2334,"it was released on october 25, 2018.","('it', 'released on', 'october')"
2335,lee chung awkwardly flirts with deok-hee.,"('lee chung', 'flirts with', 'awkwardly deok hee')"
2336,the ministers arrange for a concubine to be infected.,"('concubine', 'arrange', '')"
2337,she later turns and infects the king.,"('she', 'turns', 'later  king')"
2338,it also succeeded in giving audiences spectacular sword-fight sequences and some truly beautiful cinematography.,"('it', 'succeeded in', 'spectacular fight sequences')"
2339,another letdown has been lack of character development.,"('letdown', 'been', 'character development')"
2340,the later two certificate awards were discontinued from 15th national film awards .,"('two certificate awards', 'discontinued from 15th', 'national film awards')"
2341,award includes 'rajat kamal'  and cash prize.,"('award', 'includes', 'rajat  kamal')"
2342,interstellar is a 2014 american science fiction film directed and produced by christopher nolan.,"('interstellar', 'is', 'american christopher nolan')"
2343,"paramount pictures, warner bros., and legendary pictures co-financed the film.","('', 'pictures', 'pictures warner film')"
2344,"astronauts miller, edmunds, and mann reported positive results.","('astronauts miller', 'reported positive', 'positive  results')"
2345,cooper is recruited to pilot the endurance.,"('cooper', 'recruited', 'endurance')"
2346,the crew includes scientists dr.,"('crew', 'includes', 'scientists dr')"
2347,"mann dies during a failed manual docking operation, severely damaging endurance.","('mann', 'dies during', 'manual docking operation')"
2348,that time dilation adds another 51 years.,"('time  dilation', 'adds', '51  years')"
